text,entity,label
Howard denies split over ID cards Michael Howard has denied his shadow cabinet was split over its decision to back controversial Labour plans to introduce ID cards.,Howard,PERSON
Howard denies split over ID cards Michael Howard has denied his shadow cabinet was split over its decision to back controversial Labour plans to introduce ID cards.,Michael Howard,PERSON
Howard denies split over ID cards Michael Howard has denied his shadow cabinet was split over its decision to back controversial Labour plans to introduce ID cards.,Labour,ORG
Howard denies split over ID cards Michael Howard has denied his shadow cabinet was split over its decision to back controversial Labour plans to introduce ID cards.,Howard denies split over ID cards Michael Howard has denied his shadow cabinet was split over its decision to back controversial Labour plans to introduce ID cards.,CATEGORY_GENERAL
"The Tory leader said his front bench team had reached a collective view after holding a good discussion, but admitted it was not an easy issue.",Tory,NORP
"The Tory leader said his front bench team had reached a collective view after holding a good discussion, but admitted it was not an easy issue.","The Tory leader said his front bench team had reached a collective view after holding a good discussion, but admitted it was not an easy issue.",CATEGORY_TECHNOLOGY
"He decided to support the plans as the police said they would help fight terror, crime, and illegal immigration.","He decided to support the plans as the police said they would help fight terror, crime, and illegal immigration.",CATEGORY_TECHNOLOGY
The Lib Dems pledged to oppose the bill when it is debated next Monday.,Dems,NORP
The Lib Dems pledged to oppose the bill when it is debated next Monday.,next Monday,DATE
The Lib Dems pledged to oppose the bill when it is debated next Monday.,The Lib Dems pledged to oppose the bill when it is debated next Monday.,CATEGORY_GENERAL
Tory sources say senior party figures argued vociferously against the ID card scheme.,Tory sources say senior party figures argued vociferously against the ID card scheme.,CATEGORY_TECHNOLOGY
"Among those reported to have serious reservations were David Davis, Oliver Letwin, and Tim Yeo.",David Davis,PERSON
"Among those reported to have serious reservations were David Davis, Oliver Letwin, and Tim Yeo.",Oliver Letwin,PERSON
"Among those reported to have serious reservations were David Davis, Oliver Letwin, and Tim Yeo.",Tim Yeo,PERSON
"Among those reported to have serious reservations were David Davis, Oliver Letwin, and Tim Yeo.","Among those reported to have serious reservations were David Davis, Oliver Letwin, and Tim Yeo.",CATEGORY_GENERAL
"Mr Howard denied claims that the plans ""stink"".",Howard,PERSON
"Mr Howard denied claims that the plans ""stink"".","Mr Howard denied claims that the plans ""stink"".",CATEGORY_TECHNOLOGY
He also said he was confident shadow home secretary Mr Davis would set out the position clearly in the debate.,Davis,PERSON
He also said he was confident shadow home secretary Mr Davis would set out the position clearly in the debate.,He also said he was confident shadow home secretary Mr Davis would set out the position clearly in the debate.,CATEGORY_TECHNOLOGY
Mr Howard said the police had said ID cards could help them foil a terror bomb plot in which people could lose their lives.,Howard,PERSON
Mr Howard said the police had said ID cards could help them foil a terror bomb plot in which people could lose their lives.,Mr Howard said the police had said ID cards could help them foil a terror bomb plot in which people could lose their lives.,CATEGORY_TECHNOLOGY
He acknowledged there were libertarian arguments against the cards but said a decision had to be taken.,He acknowledged there were libertarian arguments against the cards but said a decision had to be taken.,CATEGORY_TECHNOLOGY
He denied fears of looking soft compared to Labour.,Labour,ORG
He denied fears of looking soft compared to Labour.,He denied fears of looking soft compared to Labour.,CATEGORY_GENERAL
The Conservatives announced their support for the government plans on Monday evening.,Conservatives,NORP
The Conservatives announced their support for the government plans on Monday evening.,Monday,DATE
The Conservatives announced their support for the government plans on Monday evening.,evening,TIME
The Conservatives announced their support for the government plans on Monday evening.,The Conservatives announced their support for the government plans on Monday evening.,CATEGORY_POLITICS
"Sources within the party told the BBC Mr Howard had always been in favour of ID cards, even as Home Secretary.",BBC,ORG
"Sources within the party told the BBC Mr Howard had always been in favour of ID cards, even as Home Secretary.",Howard,PERSON
"Sources within the party told the BBC Mr Howard had always been in favour of ID cards, even as Home Secretary.",Home,ORG
"Sources within the party told the BBC Mr Howard had always been in favour of ID cards, even as Home Secretary.","Sources within the party told the BBC Mr Howard had always been in favour of ID cards, even as Home Secretary.",CATEGORY_GENERAL
The Tories insisted they would hold ministers to account for the scheme’s cost and privacy safeguards.,Tories,NORP
The Tories insisted they would hold ministers to account for the scheme’s cost and privacy safeguards.,The Tories insisted they would hold ministers to account for the scheme’s cost and privacy safeguards.,CATEGORY_POLITICS
Lib Dem home affairs spokesman Mark Oaten called the ID scheme a waste of money.,Mark Oaten,PERSON
Lib Dem home affairs spokesman Mark Oaten called the ID scheme a waste of money.,Lib Dem home affairs spokesman Mark Oaten called the ID scheme a waste of money.,CATEGORY_TECHNOLOGY
"The chairman of the Bar Council, Guy Mansfield QC, warned that it could lead to discrimination and that people without ID cards might be unfairly detained.",the Bar Council,ORG
"The chairman of the Bar Council, Guy Mansfield QC, warned that it could lead to discrimination and that people without ID cards might be unfairly detained.",Guy Mansfield QC,ORG
"The chairman of the Bar Council, Guy Mansfield QC, warned that it could lead to discrimination and that people without ID cards might be unfairly detained.","The chairman of the Bar Council, Guy Mansfield QC, warned that it could lead to discrimination and that people without ID cards might be unfairly detained.",CATEGORY_TECHNOLOGY
Tory ex-minister Douglas Hogg said the plan was regressive and intrusive.,Tory ex-minister,PERSON
Tory ex-minister Douglas Hogg said the plan was regressive and intrusive.,Douglas Hogg,PERSON
Tory ex-minister Douglas Hogg said the plan was regressive and intrusive.,Tory ex-minister Douglas Hogg said the plan was regressive and intrusive.,CATEGORY_TECHNOLOGY
