text,entity,label
Howard denies split over ID cards Michael Howard has denied his shadow cabinet was split over its decision to back controversial Labour plans to introduce ID cards.,Howard,PERSON
Howard denies split over ID cards Michael Howard has denied his shadow cabinet was split over its decision to back controversial Labour plans to introduce ID cards.,Michael Howard,PERSON
Howard denies split over ID cards Michael Howard has denied his shadow cabinet was split over its decision to back controversial Labour plans to introduce ID cards.,Labour,ORG
"The Tory leader said his front bench team had reached a collective view after holding a good discussion, but admitted it was not an easy issue.",Tory,NORP
The Lib Dems pledged to oppose the bill when it is debated next Monday.,Dems,NORP
The Lib Dems pledged to oppose the bill when it is debated next Monday.,next Monday,DATE
"Among those reported to have serious reservations were David Davis, Oliver Letwin, and Tim Yeo.",David Davis,PERSON
"Among those reported to have serious reservations were David Davis, Oliver Letwin, and Tim Yeo.",Oliver Letwin,PERSON
"Among those reported to have serious reservations were David Davis, Oliver Letwin, and Tim Yeo.",Tim Yeo,PERSON
"Mr Howard denied claims that the plans ""stink"".",Howard,PERSON
He also said he was confident shadow home secretary Mr Davis would set out the position clearly in the debate.,Davis,PERSON
Mr Howard said the police had said ID cards could help them foil a terror bomb plot in which people could lose their lives.,Howard,PERSON
He denied fears of looking soft compared to Labour.,Labour,ORG
The Conservatives announced their support for the government plans on Monday evening.,Conservatives,NORP
The Conservatives announced their support for the government plans on Monday evening.,Monday,DATE
The Conservatives announced their support for the government plans on Monday evening.,evening,TIME
"Sources within the party told the BBC Mr Howard had always been in favour of ID cards, even as Home Secretary.",BBC,ORG
"Sources within the party told the BBC Mr Howard had always been in favour of ID cards, even as Home Secretary.",Howard,PERSON
"Sources within the party told the BBC Mr Howard had always been in favour of ID cards, even as Home Secretary.",Home,ORG
The Tories insisted they would hold ministers to account for the scheme’s cost and privacy safeguards.,Tories,NORP
Lib Dem home affairs spokesman Mark Oaten called the ID scheme a waste of money.,Mark Oaten,PERSON
"The chairman of the Bar Council, Guy Mansfield QC, warned that it could lead to discrimination and that people without ID cards might be unfairly detained.",the Bar Council,ORG
"The chairman of the Bar Council, Guy Mansfield QC, warned that it could lead to discrimination and that people without ID cards might be unfairly detained.",Guy Mansfield QC,ORG
Tory ex-minister Douglas Hogg said the plan was regressive and intrusive.,Tory ex-minister,PERSON
Tory ex-minister Douglas Hogg said the plan was regressive and intrusive.,Douglas Hogg,PERSON
